tematica,cantidad_disenos,colecciones_base,mensaje_whatsapp
Profesiones,809,Packs profesiones especiales | Tazas profesiones,"Hola, Creaciones DM. Quiero ver opciones de profesiones del catálogo personalizado."
Navidad,186,Tres tazas Navidad | Packs profesiones especiales | Pack tazones Navidad #4 | Pack tazones Navidad #5,"Hola, Creaciones DM. Quiero ver opciones de navidad del catálogo personalizado."
Amor y pareja,45,Pack amor collage,"Hola, Creaciones DM. Quiero ver opciones de amor y pareja del catálogo personalizado."
Ilustrados,41,Tazas ilustradas,"Hola, Creaciones DM. Quiero ver opciones de ilustrados del catálogo personalizado."
Diseños variados,38,Packs profesiones especiales,"Hola, Creaciones DM. Quiero ver opciones de diseños variados del catálogo personalizado."
Familia,34,Colección abuelos | Tazas profesiones,"Hola, Creaciones DM. Quiero ver opciones de familia del catálogo personalizado."
